CpG	Feature	P.Value	adj.P.Val	B	Distance	NearestGeneSymbol
cg05575921	GB_SHO	8.06E-115	3.40E-109	227.1637	47655	AHRR
cg21566642	IG_CGI	2.60E-93	5.47E-88	183.9354	13108	ALPPL2
cg05951221	IG_CGI	1.09E-80	1.53E-75	158.2889	12849	ALPPL2
cg01940273	IG_CGI	1.75E-78	1.84E-73	153.7889	13381	ALPPL2
cg03636183	GB_SHO	1.08E-69	9.12E-65	135.794	758	F2RL3
cg06126421	DP_NC	5.90E-59	4.14E-54	113.7039	7752	IER3
cg26703534	GB_SHE	4.69E-52	2.82E-47	99.44579	43675	AHRR
cg21161138	GB_NC	3.19E-47	1.68E-42	89.43277	21673	AHRR
cg14753356	DP_NC	6.68E-45	3.13E-40	84.61609	7780	IER3
cg27537125	IG_NC	7.03E-34	2.96E-29	61.68948	58068	RUNX3
cg25648203	GB_NC	7.28E-33	2.79E-28	59.57378	25589	AHRR
cg21611682	GB_NC	2.47E-32	8.67E-28	58.46724	58160	LRP5
cg15342087	DP_NC	4.43E-31	1.43E-26	55.85395	7881	IER3
cg22132788	GB_CGI	1.07E-27	3.23E-23	48.79351	12338	MYO1G
cg24859433	DP_NC	2.38E-27	6.68E-23	48.0726	7875	IER3
cg06644428	IG_CGI	2.86E-27	7.54E-23	47.90336	12559	ALPPL2
cg21322436	PP_SHO	6.01E-27	1.49E-22	47.23182	609	CNTNAP2
cg14817490	GB_NC	2.44E-26	5.71E-22	45.96147	28113	AHRR
cg12803068	GB_SHO	2.93E-26	6.51E-22	45.79472	11905	MYO1G
cg09935388	GB_CGI	7.89E-26	1.66E-21	44.89817	1766	GFI1
cg08709672	PP_SHO	1.48E-24	2.96E-20	42.24181	50	AVPR1B
cg03329539	IG_SHO	2.26E-24	4.33E-20	41.85648	11776	ALPPL2
cg23161492	GB_SHO	8.74E-24	1.60E-19	40.63032	868	ANPEP
cg25189904	PP_SHO	2.43E-23	4.27E-19	39.70206	337	GNG12
cg13193840	IG_CGI	7.50E-23	1.26E-18	38.68142	13736	ALPPL2
cg01901332	GB_NC	1.93E-21	3.13E-17	35.73607	15174	MIR326
cg27241845	DS_SHO	7.42E-21	1.16E-16	34.51608	1382	ECEL1P2
cg25949550	GB_SHO	1.49E-20	2.24E-16	33.88354	852	CNTNAP2
cg05284742	GB_NC	2.23E-20	3.24E-16	33.51733	18330	ITPK1-AS1
cg14712058	GB_SHO	4.96E-20	6.97E-16	32.79242	109	SIN3B
cg23916896	GB_SHO	6.93E-20	9.43E-16	32.48946	46101	AHRR
cg07986378	GB_NC	8.98E-20	1.18E-15	32.25498	95495	ETV6
cg10750182	PP_NC	1.45E-19	1.86E-15	31.81795	65	C10orf105
