Symbol	Ocogene_score 	Classification	Process
ABL1	93%	Oncogene	Cell Survival
AKT1	93%	Oncogene	Cell Survival
ALK	72%	Oncogene	Cell Survival
AR	54%	Oncogene	Cell Fate
BCL2	27%	Oncogene	Cell Survival
BRAF	100%	Oncogene	Cell Survival
CARD11	30%	Oncogene	Cell Survival
CBL	57%	Oncogene	Cell Survival
CRLF2	100%	Oncogene	Cell Survival
CSF1R	50%	Oncogene	Cell Survival
CTNNB1	92%	Oncogene	Cell Fate
DNMT1	36%	Oncogene	Cell Fate
DNMT3A	74%	Oncogene	Cell Fate
EGFR	97%	Oncogene	Cell Survival
ERBB2	67%	Oncogene	Cell Survival
EZH2	67%	Oncogene	Cell Fate
FGFR2	49%	Oncogene	Cell Survival
FGFR3	99%	Oncogene	Cell Survival
FLT3	98%	Oncogene	Cell Survival
FOXL2	100%	Oncogene	Cell Fate
GATA2	53%	Oncogene	Cell Fate
GNA11	92%	Oncogene	Cell Survival
GNAQ	95%	Oncogene	Cell Survival
GNAS	93%	Oncogene	Cell Survival_Cell Fate
H3F3A	93%	Oncogene	Cell Fate
HIST1H3B	60%	Oncogene	Cell Fate
HRAS	96%	Oncogene	Cell Survival
IDH1	100%	Oncogene	Cell Fate
IDH2	99%	Oncogene	Cell Fate
JAK1	26%	Oncogene	Cell Survival
JAK2	100%	Oncogene	Cell Survival
JAK3	60%	Oncogene	Cell Survival
KIT	90%	Oncogene	Cell Survival
KLF4	80%	Oncogene	Cell Fate
KRAS	100%	Oncogene	Cell Survival
MAP2K1	67%	Oncogene	Cell Survival
MED12	84%	Oncogene	Cell Survival
MET	61%	Oncogene	Cell Survival
MPL	96%	Oncogene	Cell SUrvival
MYD88	92%	Oncogene	Cell Survival
NFE2L2	74%	Oncogene	Cell Survival
NRAS	99%	Oncogene	Cell Survival
PDGFRA	84%	Oncogene	Cell Survival
PIK3CA	95%	Oncogene	Cell Survival
PPP2R1A	85%	Oncogene	Cell Survival
PTPN11	90%	Oncogene	Cell Survival
RET	86%	Oncogene	Cell Survival
SETBP1	25%	Oncogene	Cell Fate
SF3B1	91%	Oncogene	Cell Fate
SMO	51%	Oncogene	Cell Fate
SPOP	66%	Oncogene	Cell Fate
SRSF2	95%	Oncogene	Cell Fate
TSHR	86%	Oncogene	Cell Survival
U2AF1	92%	Oncogene	Cell Fate
