Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
ABAT	GABAT	ENSG00000183044	4-aminobutyrate aminotransferase	16	8674565-8784575	Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA041528, HPA041690	Enhanced	Supported	Supported	Mitochondria	Renal cancer:5.44e-8 (favourable), Liver cancer:5.36e-5 (favourable), Lung cancer:5.93e-4 (favourable)	Expressed in all	Tissue enhanced		cerebral cortex: 164.5;kidney: 135.3;liver: 175.2	thyroid gland: 47.5	Cell line enhanced		Hep G2: 83.0;MCF7: 60.0;RH-30: 64.1;T-47d: 39.1
ABCA1	ABC1, HDLDT1, TGD	ENSG00000165029	ATP binding cassette subfamily A member 1	9	104781002-104928237	Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA057283, CAB069889	Approved		Approved	Nucleoplasm<br>Vesicles		Expressed in all	Mixed			adrenal gland: 38.0	Cell line enhanced		U-87 MG: 76.7
ABCC1	GS-X, MRP, MRP1	ENSG00000103222	ATP binding cassette subfamily C member 1	16	15949577-16143074	Cancer-related genes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA002380	Uncertain		Supported	Plasma membrane	Renal cancer:1.55e-6 (unfavourable), Liver cancer:5.42e-5 (unfavourable)	Expressed in all	Mixed			parathyroid gland: 18.6	Cell line enhanced		EFO-21: 84.1
ABCC2	CMOAT, cMRP, DJS, MRP2	ENSG00000023839	ATP binding cassette subfamily C member 2	10	99782732-99852192	Cancer-related genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA004860, CAB037271	Enhanced				Renal cancer:1.93e-5 (unfavourable)	Tissue enhanced	Group enriched	10	duodenum: 43.5;gallbladder: 42.7;kidney: 20.9;liver: 67.6;small intestine: 49.5	breast: 4.4	Cell line enhanced		A549: 203.8;Hep G2: 155.8
ABCC8	ABC36, HHF1, HI, HRINS, MRP8, PHHI, SUR, SUR1, TNDM2	ENSG00000006071	ATP binding cassette subfamily C member 8	11	17392885-17476845	Disease related genes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Transporters	Evidence at protein level	CAB011451, HPA042318	Approved		Approved	Nucleoli<br>Golgi apparatus<br>Cytosol		Tissue enriched	Tissue enhanced		cerebral cortex: 11.3	adrenal gland: 7.5	Cell line enhanced		A549: 1.7;AN3-CA: 1.8;SCLC-21H: 9.0
ABL1	ABL, c-ABL, JTK7, p150	ENSG00000097007	ABL proto-oncogene 1, non-receptor tyrosine kinase	9	130713946-130887675	Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins, RAS pathway related proteins	Evidence at protein level	CAB002686, HPA027251, HPA027280, HPA028409	Supported		Enhanced	Nucleoplasm<br>Nuclear bodies		Expressed in all	Expressed in all			parathyroid gland: 83.9	Expressed in all		
ACAA1		ENSG00000060971	Acetyl-CoA acyltransferase 1	3	38103129-38137242	Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA006764, HPA007244	Enhanced		Enhanced	Peroxisomes	Renal cancer:6.99e-9 (favourable), Head and neck cancer:1.23e-4 (favourable), Breast cancer:3.00e-4 (favourable), Endometrial cancer:7.53e-4 (favourable)	Expressed in all	Expressed in all			liver: 328.4	Expressed in all		
ACE	ACE1, CD143, DCP1	ENSG00000159640	Angiotensin I converting enzyme	17	63477061-63498380	Candidate cardiovascular disease genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB002426, CAB002921, HPA029298, HPA069790	Enhanced		Approved	Vesicles		Expressed in all	Tissue enhanced		duodenum: 178.9;small intestine: 291.6	testis: 83.7	Cell line enhanced		ASC TERT1: 44.4;HUVEC TERT2: 28.2
ACE2		ENSG00000130234	Angiotensin I converting enzyme 2	X	15561033-15602148	Enzymes, FDA approved drug targets, Predicted membrane proteins	Evidence at protein level	HPA000288, CAB026174	Enhanced				Renal cancer:2.12e-5 (favourable), Liver cancer:4.21e-4 (favourable)	Tissue enhanced	Group enriched	5	duodenum: 181.1;gallbladder: 100.2;kidney: 94.0;small intestine: 261.1;testis: 93.0	heart muscle: 27.9	Cell line enhanced		HaCaT: 1.1
ACHE	YT	ENSG00000087085	Acetylcholinesterase (Cartwright blood group)	7	100889994-100896974	Blood group antigen proteins, Enzymes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA019704, HPA027098			Approved	Golgi apparatus<br>Vesicles	Renal cancer:3.88e-5 (unfavourable), Glioma:7.16e-4 (unfavourable)	Mixed	Tissue enhanced		skeletal muscle: 58.5	cerebral cortex: 14.1	Cell line enhanced		BEWO: 11.7;CACO-2: 17.5;K-562: 20.7;Karpas-707: 25.8
